HEU X,HEU Y,HEU Z
0,0,0
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.95531152107e-07,0.000294225315001
0.101,3.28985875515e-12,0.0857417038369
0.102,5.33845475926e-13,0.23483531781
0.103,4.62835220599e-13,0.224690137491
0.104,3.58114657191e-13,0.26306008549
0.105,3.94326544567e-13,0.238970552602
0.106,3.19220894745e-13,0.294306605507
0.107,4.63329336109e-13,0.234785973658
0.108,4.00029875548e-13,0.216694907713
0.109,5.24981390216e-13,0.222356836798
0.11,3.68581199198e-13,0.261837391533
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.36422195574e-07,0.000251744100603
0.101,5.35133736997e-12,0.0753110243737
0.102,4.10704217503e-13,0.225597326623
0.103,2.74885369232e-13,0.248423113376
0.104,4.15699980568e-13,0.267800113983
0.105,3.0244557101e-13,0.252336233224
0.106,3.0163091283e-13,0.240855745232
0.107,4.12066260952e-13,0.239491836504
0.108,3.20243052163e-13,0.315655720776
0.109,4.67107743555e-13,0.252662939401
0.11,3.75634985845e-13,0.255675222359
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.15814097373e-06,0.000171081757875
0.101,1.17958435564e-11,0.0473770880649
0.102,9.54816561927e-13,0.155800894476
0.103,1.24146228089e-12,0.137813719925
0.104,1.21444111827e-12,0.171611401908
0.105,1.17081551134e-12,0.146315047756
0.106,1.10691405914e-12,0.161307592827
0.107,1.2173915994e-12,0.149051361896
0.108,1.05958236832e-12,0.154689332983
0.109,1.17892397423e-12,0.153901444336
0.11,8.82475321563e-13,0.167670598866
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.36465358165e-07,0.000251767789351
0.101,4.72218710693e-12,0.0770684457211
0.102,4.53742148985e-13,0.286484469576
0.103,3.59975824322e-13,0.246007628955
0.104,4.74492294812e-13,0.25112291133
0.105,3.37193311416e-13,0.258004238125
0.106,3.6904317553e-13,0.239202570078
0.107,2.69443046546e-13,0.271470770196
0.108,4.02598403551e-13,0.246799701863
0.109,4.41239087134e-13,0.25318469916
0.11,2.97711494706e-13,0.277312349012
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.41847853718e-07,0.000229962432337
0.101,4.64396832605e-12,0.0725660002219
0.102,4.41199560276e-13,0.23404206422
0.103,5.32224776404e-13,0.208363932947
0.104,3.82129191832e-13,0.247025975274
0.105,2.6838996289e-13,0.294804831257
0.106,4.31920336644e-13,0.258052742097
0.107,4.63981915366e-13,0.247156998088
0.108,4.25365028548e-13,0.223018686624
0.109,2.52086074061e-13,0.298130627605
0.11,1.75818786819e-13,0.354169169156
