HEU X,HEU Y,HEU Z
0,0,0
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.95564809433e-07,0.000259464281824
0.101,3.5271446204e-12,0.0743589968405
0.102,4.71194185993e-13,0.211877365674
0.103,4.1061108026e-13,0.210477693612
0.104,4.26443887274e-13,0.20898015755
0.105,3.72416846381e-13,0.216759500272
0.106,3.11950730288e-13,0.259437849878
0.107,4.56476913871e-13,0.214746721823
0.108,3.64641306364e-13,0.209794180623
0.109,5.68886656922e-13,0.204462641543
0.11,4.43075348849e-13,0.202792971557
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.36382858884e-07,0.000222027878412
0.101,5.17804390901e-12,0.0671079691425
0.102,3.87742212542e-13,0.200827593176
0.103,2.73768187048e-13,0.21530578505
0.104,4.02237944397e-13,0.231188459109
0.105,2.55446840575e-13,0.244080974197
0.106,2.80455038122e-13,0.216459503457
0.107,4.47541430683e-13,0.206222086325
0.108,3.72723516237e-13,0.246192473602
0.109,4.46834431554e-13,0.222797214358
0.11,3.98173759237e-13,0.215965837344
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.1581130552e-06,0.000150885037974
0.101,1.15534150336e-11,0.0418455822819
0.102,1.08133536926e-12,0.136967023366
0.103,1.26450409051e-12,0.121520005723
0.104,1.25152231083e-12,0.143729976715
0.105,1.18290187319e-12,0.126966575926
0.106,1.07213598444e-12,0.144404407417
0.107,1.13874185466e-12,0.135739130725
0.108,1.06066926967e-12,0.137949766193
0.109,1.12931321945e-12,0.136710568739
0.11,8.85762697119e-13,0.146838255652
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.36449241928e-07,0.000222041968583
0.101,4.41340078798e-12,0.0697988397338
0.102,3.89933580355e-13,0.268795766306
0.103,3.14910181285e-13,0.227535448512
0.104,4.94366208207e-13,0.203761029089
0.105,3.85876880795e-13,0.231586134665
0.106,3.06850203709e-13,0.22956926159
0.107,2.75109476234e-13,0.260630187073
0.108,3.9642829178e-13,0.217185638234
0.109,3.9176148237e-13,0.23154319349
0.11,3.22910302386e-13,0.231247641871
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.41708605401e-07,0.000202830193109
0.101,4.6439355144e-12,0.0636809686938
0.102,4.26023359416e-13,0.209255501857
0.103,5.1487825622e-13,0.188242375648
0.104,3.99122049844e-13,0.213748156937
0.105,2.64157581295e-13,0.256844310308
0.106,4.14255672033e-13,0.233688007521
0.107,4.98039177782e-13,0.216147128477
0.108,4.40544574345e-13,0.190862430598
0.109,3.05660841529e-13,0.252186030224
0.11,2.10818165465e-13,0.281128363098
