HEU X,HEU Y,HEU Z
-25,-25,-25
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.81782708525e-07,0.000398161410029
0.101,2.41227216033e-12,0.136320226099
0.102,1.93688366392e-13,0.543833794123
0.103,3.25041736081e-13,0.388859013814
0.104,2.67470737469e-13,0.450678392545
0.105,2.71242697413e-13,0.321067574867
0.106,1.37963352961e-13,0.585363845754
0.107,2.49608636443e-13,0.474983091947
0.108,2.11060606295e-13,0.45184401402
0.109,5.21063478492e-14,0.515979558851
0.11,2.31750589518e-13,0.39706127451
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.31804774065e-07,0.000335041725934
0.101,5.00529396135e-12,0.101381185274
0.102,4.13157726909e-13,0.338180178875
0.103,3.53471826839e-13,0.310513541146
0.104,2.85688950031e-13,0.375591706561
0.105,1.65477205106e-13,0.521890026105
0.106,4.04557343654e-13,0.33868162717
0.107,4.53657330968e-13,0.380178294363
0.108,2.61648630737e-13,0.478433754454
0.109,2.57408821367e-13,0.3609360348
0.11,2.86798495293e-13,0.391111665516
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.13329892654e-06,0.000228628209527
0.101,1.1106363584e-11,0.0660203120748
0.102,7.86690076604e-13,0.221458704751
0.103,5.37602628691e-13,0.27586896101
0.104,1.12402732483e-12,0.198027085048
0.105,1.17197065763e-12,0.200243295278
0.106,6.44305916176e-13,0.24904076708
0.107,5.82595138556e-13,0.249170289433
0.108,7.29782299269e-13,0.248424500279
0.109,9.98962923876e-13,0.217058288404
0.11,1.12163618898e-12,0.203671735706
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.32070772791e-07,0.000335031872854
0.101,4.19753458769e-12,0.110396068813
0.102,1.70276520664e-13,0.441026014098
0.103,2.65264118168e-13,0.394793299513
0.104,4.32817031383e-13,0.348887624855
0.105,2.14928199045e-13,0.382558145065
0.106,5.70607003641e-13,0.311188594816
0.107,1.68096159064e-13,0.40695793353
0.108,3.47405286187e-13,0.423034938179
0.109,2.51674980225e-13,0.401875608016
0.11,5.61765581061e-13,0.301007729236
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.63063138835e-07,0.000298675340548
0.101,4.99519256903e-12,0.091182742289
0.102,6.82368610916e-13,0.268770347373
0.103,4.83219671868e-13,0.292801661982
0.104,7.19183550867e-13,0.237881358668
0.105,3.84558988645e-13,0.334946376829
0.106,3.09428211052e-13,0.383927302796
0.107,6.72312322613e-13,0.365382775309
0.108,7.99726096839e-13,0.251366058273
0.109,5.96144355118e-13,0.287247661975
0.11,8.39211394647e-13,0.219423733818
