HEU X,HEU Y,HEU Z
-25,0,25
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.81322603378e-07,0.000795622487634
0.101,1.92434942572e-12,0.286399087149
0.102,2.61243919838e-13,0.858058140461
0.103,2.6658112552e-13,0.651330001514
0.104,0.0,0.0
0.105,3.48312410955e-13,0.650312980268
0.106,1.59243011198e-13,1.0
0.107,3.59132749587e-13,0.77511025123
0.108,2.28165015995e-13,0.709020370958
0.109,0.0,0.0
0.11,3.59934552507e-13,0.88379276267
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.21682855093e-07,0.000677190006236
0.101,4.57274563556e-12,0.215128904183
0.102,1.60263779462e-13,0.708137629812
0.103,2.23293684917e-13,1.0
0.104,1.90155096847e-13,1.0
0.105,2.95786682193e-13,0.801852343649
0.106,0.0,0.0
0.107,0.0,0.0
0.108,1.73156475073e-13,0.847265154403
0.109,1.26388917248e-13,0.911127119867
0.11,1.71707697531e-13,1.0
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.09577445939e-06,0.000465946068577
0.101,9.78460653046e-12,0.137974323455
0.102,4.67886631985e-13,0.620990565743
0.103,3.80356392682e-13,0.722059074662
0.104,3.30454983631e-13,0.811635563332
0.105,5.67449719508e-13,0.623753088993
0.106,1.17498617684e-13,1.0
0.107,6.90738155659e-13,0.478291958004
0.108,3.45167207609e-13,0.725822107639
0.109,8.56145619609e-14,0.83590250658
0.11,2.74288902729e-13,0.678209313563
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.13432817692e-07,0.000683724219354
0.101,3.00915874494e-12,0.261467793274
0.102,3.12380793971e-13,0.999999999949
0.103,0.0,0.0
0.104,7.96413090649e-15,1.0
0.105,5.64628091347e-13,0.578679968111
0.106,2.19046109604e-13,1.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,2.57661219649e-14,1.0
0.11,9.6891306169e-14,1.0
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.18867160146e-07,0.000621894120238
0.101,4.04820629204e-12,0.214883537127
0.102,5.54830114091e-14,0.999999999974
0.103,1.97388588198e-15,1.0
0.104,6.50354461053e-14,1.0
0.105,0.0,0.0
0.106,2.52096182841e-13,1.0
0.107,0.0,0.0
0.108,1.40118187288e-14,1.0
0.109,3.14780563061e-13,0.96517647167
0.11,9.35426937676e-14,1.0
